company;bangdan_name;ranking;subject;price;unit;chengjiaov;saleVolume;odUrl
杭州儒孟电子商务有限公司;未上榜;0;儒孟连帽可拆卸撞色90白鸭绒情侣羽绒服冬季防寒保暖加厚羽绒外套;235.0;件;0;100;https://detail.1688.com/offer/975170025433.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
石狮市柠伊供应链有限公司;未上榜;0;白鸭绒羽绒服男2025冬季男装新款立领加厚保暖防风外套高级感衣服;228.0;件;0;28;https://detail.1688.com/offer/1001069403593.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州述致服饰有限公司;未上榜;0;LS 休闲通勤白鸭绒短款羽绒服 广州十三行2025秋冬新品女装Y9918#;428.0;件;0;9;https://detail.1688.com/offer/998242253867.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
骆豪服装集团有限公司;西装裤榜;74;白鸭绒男式羽绒服男士中长款冬季加厚保暖商务通勤4S店工作服外套;598.0;件;0;100;https://detail.1688.com/offer/994452638853.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州阿依涵服装贸易有限公司;未上榜;0;《南区菲奥娜》藏青连帽毛领棉服外套女秋冬新款短款羽绒服;268.0;件;0;58;https://detail.1688.com/offer/978988416165.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
梵祖鸟(石狮)户外用品有限公司;未上榜;0;户外羽绒服男女冲锋衣羽绒内胆运动休闲立领轻薄羽绒服保暖外套;169.0;件;0;100;https://detail.1688.com/offer/840773752587.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
广州市枫舍服装有限公司;运动长裤榜;242;枫舍男装 /冬季50%白鸭绒连帽款羽绒服男加厚保暖新款冬装男外套;268.0;件;0;18;https://detail.1688.com/offer/991539296592.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
平湖市裳典服饰网店;未上榜;0;2025冬季毛领连帽90白鸭绒大毛领收腰显瘦加厚短款羽绒服女外套;359.0;件;0;200;https://detail.1688.com/offer/981762999776.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
杭州曼罗莎服饰有限公司;未上榜;0;2025秋冬轻薄羽绒服女小个子休闲百搭短款立领白鸭绒外套轻盈保暖;300.0;件;0;34;https://detail.1688.com/offer/960067691786.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
台州宏楹服饰有限公司;未上榜;0;冬季新款狐狸毛大毛领90绒羽绒服保暖大气时尚百搭外套女;269.0;件;0;36;https://detail.1688.com/offer/893705100820.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
嘉兴市经开城南街道宝成服饰商行;未上榜;0;柔和缎面 90白鸭绒  冬季女式光泽长袖连帽羽绒服;358.0;件;0;100;https://detail.1688.com/offer/988199697216.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
常熟市虞山街道裤瑞儿服饰商行;未上榜;0;高端奢华大牌牛货女装90白鸭绒内胆轻薄款两穿外套保暖羽绒服女冬;130.0;件;0;41;https://detail.1688.com/offer/987027671187.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
海宁市千兹服饰有限公司;修身显瘦连衣裙榜;39;海宁真皮绵羊皮羽绒服女长款鹅绒加厚保暖狐狸毛领宽松皮草外套女;899.0;件;0;11;https://detail.1688.com/offer/858973661735.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
即墨区简创优选服装厂;未上榜;0;时尚新款貉子毛领设计油蜡羊皮鹅绒服女加厚羽绒服真皮外套冬季;665.0;件;0;25;https://detail.1688.com/offer/990812331126.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
盛世保罗服装（山东）有限公司;未上榜;0;冲锋衣三合一定制印logo可拆卸羽绒内胆外套加绒餐饮工服广告风衣;42.00;件;销70+件;100;https://detail.1688.com/offer/990621314050.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
上海璨曦贸易有限公司;显瘦阔腿裤榜;133;2025冬季新中式国风香云纱提花木耳花边复古高级感羽绒服轻奢套;259.9;条;成交0.2万+元;1;https://detail.1688.com/offer/1004119870153.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
绍兴市柯桥区健魄服饰有限公司;未上榜;0;白鹅绒短款面包羽绒服女冬季新款韩国高品质宽松百搭外套羽绒上衣;460.0;件;0;32;https://detail.1688.com/offer/853110074556.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
武汉诚品瑜凡商贸有限公司;未上榜;0;新国标50绒男士羽绒服2025冬季加厚保暖宽松男女同款连帽鸭绒外套;195.0;件;0;1000;https://detail.1688.com/offer/858435185574.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
东莞市雯华丝绸有限公司;未上榜;0;国风新中式女装冬季重工刺绣设计狸毛毛领华贵外套羽绒服 NX034;768.0;件;0;34;https://detail.1688.com/offer/991415210628.html?src=zhanwai&ptid=0177000000085203b0ab0d5c147fdb7b
